company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
EVERISTA HOLDINGS LTD,16981547,active,ltd,,,2026-01-22,,2026-01-22,"[47540, 47722, 47820]",Office 16591 182-184 High Street North London United Kingdom E6 2JA,,,
SNAPPY SHIFTS LTD,16981562,active,ltd,,,2026-01-22,,2026-01-22,"[49410, 49420]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
NEW DRAGON HOLDCO LTD,16981764,active,ltd,,,2026-01-22,,2026-01-22,[64209],Verde London United Kingdom SW1E 5DH,,,
INITIATIVE SOLUTIONS LTD,16981768,active,ltd,,,2026-01-22,,2026-01-22,"[61100, 61200, 62020, 62090]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
OPTIMISE WELLNESS LTD,16981783,active,ltd,,,2026-01-22,,2026-01-22,[47290],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
AIHAN MINI MARKET LIMITED,16981979,active,ltd,,,2026-01-22,,2026-01-22,[47110],187 London Road Stockport England SK7 4HJ,,,
NAZCA PROPERTIES LTD,16982008,active,ltd,,,2026-01-22,,2026-01-22,"[68100, 68209, 68320]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
DEVONSHIRE ROAD DEVELOPMENTS LIMITED,16982001,active,ltd,,,2026-01-22,,2026-01-22,[68100],203 Kilburn High Road London United Kingdom NW6 7HY,,,
PAID BY DATA LTD,16982278,active,ltd,,,2026-01-22,,2026-01-22,"[62090, 63110]",128 City Road London United Kingdom EC1V 2NX,,,
BELLA AESTHETICS CLINIC LTD,16982282,active,ltd,,,2026-01-22,,2026-01-22,[86900],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
PORTLAND & ST THOMAS DEVELOPMENTS LTD,16982631,active,ltd,,,2026-01-22,,2026-01-22,"[41100, 68100]",301a Cricklewood Broadway London England NW2 6PG,,,
MK MARKETING GLOBAL LTD,16982774,active,ltd,,,2026-01-23,,2026-01-23,[47910],"2nd Floor College House Ruislip, United Kingdom HA4 7AE",,,
PLUS PRINTER LTD,16982754,active,ltd,,,2026-01-23,,2026-01-23,[47910],"37th Floor 1 Canada Square, Canary Wharf London United Kingdom E14 5AA",,,
KOKONUT DELIGHTS PVT LTD,16982749,active,ltd,,,2026-01-23,,2026-01-23,[46900],20 Wenlock Road London England N1 7GU,,,
REVIEWTOR LTD,16982745,active,ltd,,,2026-01-23,,2026-01-23,[73110],124 City Road London United Kingdom EC1V 2NX,,,
MUJTABA 786 LTD,16983016,active,ltd,,,2026-01-23,,2026-01-23,[63110],2 Frederick Street London United Kingdom WC1X 0ND,,,
FOURTEEN SPRINGS PRESS LIMITED,16983020,active,ltd,,,2026-01-23,,2026-01-23,"[47610, 47910, 58110]",111 High Road London England NW10 2SL,,,
HIDDEN SAMURAI LIMITED,16983026,active,ltd,,,2026-01-23,,2026-01-23,[56102],"Unit 301 Lock Studios, 7 Corsican Square London United Kingdom E3 3YD",,,
NEXTVIEW STRATEGIES LTD,16983037,active,ltd,,,2026-01-23,,2026-01-23,[82990],20 Wenlock Road London England N1 7GU,,,
MMK REALTY LIMITED,16983030,active,ltd,,,2026-01-23,,2026-01-23,"[68100, 68209]",167-169 Great Portland Street London England W1W 5PF,,,
SOQQUADRO LTD,16983031,active,ltd,,,2026-01-23,,2026-01-23,[62020],28 Marischal Road London England SE13 5LG,,,
VELMORA GLOBAL LIMITED,16983032,active,ltd,,,2026-01-23,,2026-01-23,"[46900, 47990]",239a High Street London England E17 7BH,,,
RM IT & CYBER SECURITY CONSULTING LTD,16983186,active,ltd,,,2026-01-23,,2026-01-23,[62020],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
CHBL HAVEN LIMITED,16983169,active,ltd,,,2026-01-23,,2026-01-23,[68209],20 Wenlock Road London England N1 7GU,,,
CONNORS & SONS LTD,16983384,active,ltd,,,2026-01-23,,2026-01-23,[43290],128 City Road London United Kingdom EC1V 2NX,,,
DEDWALK BRANDS LTD,16983570,active,ltd,,,2026-01-23,,2026-01-23,[47910],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
PPAD LTD,16983569,active,ltd,,,2026-01-23,,2026-01-23,[62090],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
VIPCUTSM&HBARBERS LTD,16983675,active,ltd,,,2026-01-23,,2026-01-23,[96020],76 Old Church Road London England E4 8BX,https://vipcutsmhbarbers.lovable.app,,Confirmed
AMITEL LTD,16983666,active,ltd,,,2026-01-23,,2026-01-23,[46520],27 Old Gloucester Street London United Kingdom WC1N 3AX,,,
LOCALTAP TECHNOLOGIES LTD,16983676,active,ltd,,,2026-01-23,,2026-01-23,[62012],71-75 Shelton Street London United Kingdom WC2H 9JQ,https://www.localtap.co.uk,,Likely
PROSELY LTD,16983876,active,ltd,,,2026-01-23,,2026-01-23,[62012],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
AT PROPERTIES HOLDINGS LTD,16983993,active,ltd,,,2026-01-23,,2026-01-23,[68209],5 Chigwell Road London United Kingdom E18 1LR,,,
OAKHOLD LIMITED,16984001,active,ltd,,,2026-01-23,,2026-01-23,[68209],147 Stamford Hill London England N16 5LG,,,
AZRI TRADING & CONTRACTING LTD,16984100,active,ltd,,,2026-01-23,,2026-01-23,[46900],"2nd Floor College House Ruislip, United Kingdom HA4 7AE",,,
PRESTIGE CHAUFFEURING LTD,16984099,active,ltd,,,2026-01-23,,2026-01-23,[49320],340 West End Lane London England NW6 1LN,,,
BROCK TRADING LTD,16984107,active,ltd,,,2026-01-23,,2026-01-23,[62020],21 Walpole Road London United Kingdom SW19 2BZ,,,
ALFA CORP OG LTD,16984110,active,ltd,,,2026-01-23,,2026-01-23,"[06100, 09100]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
HONEY BADGER PROPERTY LTD,16984635,active,ltd,,,2026-01-23,,2026-01-23,[98000],182 Rosendale Road London England SE21 8LQ,,,
STUDIOSCULPT UK LTD,16984637,active,ltd,,,2026-01-23,,2026-01-23,[99999],167-169 Great Portland Street London England W1W 5PF,,,
JJN SERVICES LTD,16984622,active,ltd,,,2026-01-23,,2026-01-23,"[78200, 94110]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
BRADFORD EXPRESS LIMITED,16984702,active,ltd,,,2026-01-23,,2026-01-23,[63120],"3rd Floor, 86-90 Paul Street London England EC2A 4NE",https://bradford.city.express,bradford@city.express,Confirmed
LEGACY PROPERTIES HUB LTD,16984909,active,ltd,,,2026-01-23,,2026-01-23,"[68100, 68209]",20-22 Wenlock Road London England N1 7GU,,,
MCVS ACCOUNTING SERVICES LTD,16984905,active,ltd,,,2026-01-23,,2026-01-23,"[69201, 69202, 82110]",6 Jack Barnett Way London England N22 6SZ,,,
THEAEUK LTD,16984915,active,ltd,,,2026-01-23,,2026-01-23,[47910],114 Mandeville Court London England E4 8JD,,,
TNK NEXUS CONSTRUCTION LTD,16985017,active,ltd,,,2026-01-24,,2026-01-24,"[41201, 41202, 43999]",347 Barking Road London England E13 8EE,https://www.tnkltd.co.uk,info@tnkltd.co.uk,Likely
PLUM COTTAGE FIFE LTD,16985223,active,ltd,,,2026-01-24,,2026-01-24,"[55209, 68209]",169 Peckham Rye London United Kingdom SE15 3HZ,,,
HIGH FIDELITY TRADING LTD,16985498,active,ltd,,,2026-01-25,,2026-01-25,[85590],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",https://www.highfidelitytrading.com,info@highfidelitytrading.com,Confirmed
MAD THEORY LTD,16985499,active,ltd,,,2026-01-25,,2026-01-25,"[59112, 59200, 74909, 90030]",105 Greengate Street London England E13 0BG,,,
AJR MART LTD,16941175,active,ltd,,,2026-01-04,,2026-01-04,"[46900, 47910]",5 White Church Passage London England E1 7QU,https://ajrmart.co.uk,support@ajrmart.co.uk,Confirmed
SANDO GROUP LTD,16986078,active,ltd,,,2026-01-26,,2026-01-26,[43390],54 Belsize Avenue London England N13 4TJ,,,
THE MARQUEE AKHS LTD,16986148,active,ltd,,,2026-01-26,,2026-01-26,"[56210, 77210, 77390, 96090]",20 Wenlock Road London England N1 7GU,,,
HARMONYHUES WELLNESS LTD,16986146,active,ltd,,,2026-01-26,,2026-01-26,[99999],167-169 Great Portland Street London England W1W 5PF,,,
RG RIGGING LTD,16986621,active,ltd,,,2026-01-26,,2026-01-26,[43991],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
DJOUDI LTD,16986627,active,ltd,,,2026-01-26,,2026-01-26,[47910],20 Wenlock Road London England N1 7GU,,,
SALUTE INDUSTRIAL ENTERPRISES LTD,16986735,active,ltd,,,2026-01-26,,2026-01-26,[47910],52-53 Conduit Street London England W1S 2YX,,,
OZEN NOVA LTD,16986731,active,ltd,,,2026-01-26,,2026-01-26,[45111, 45112, 45190, 45200],128 City Road London United Kingdom EC1V 2NX,,,
CONSULTING 365 CRM LTD,16987018,active,ltd,,,2026-01-26,,2026-01-26,[70229],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
FOLEA C NARCIS LTD,16986994,active,ltd,,,2026-01-26,,2026-01-26,[49410],69 Fairway Avenue London England NW9 0EL,,,
JERUVAN LTD,16971937,active,ltd,,,2026-01-19,,2026-01-19,[71129],75 Chapel Market London United Kingdom N1 9ER,,,
SQUIRREL STOCKS LTD,16971940,active,ltd,,,2026-01-19,,2026-01-19,[63120],5 204 Hoxton Street London United Kingdom N1 5LH,https://squirrelstocks.co.uk,,Likely
FRESHER START LTD,16971946,active,ltd,,,2026-01-19,,2026-01-19,[81210, 82990],Suite Ra01 195-197 Wood Street London United Kingdom E17 3NU,https://fresherstart.co.uk,,Likely
SW PROPERTY AND RENTAL SOLUTIONS LTD,16971803,active,ltd,,,2026-01-19,,2026-01-19,[68209, 68320],20 Wenlock Road London England N1 7GU,,,
OTHERLING UK LIMITED,16971801,active,ltd,,,2026-01-19,,2026-01-19,[74100],280 Bishopsgate London United Kingdom EC2M 4AG,,,
MEGAMIX GROUP LTD,16971852,active,ltd,,,2026-01-19,,2026-01-19,[47240],111 Lynton Road London England SE1 5QX,,,
BRIKS ECOMMERCE LIMITED,16971847,active,ltd,,,2026-01-19,,2026-01-19,[47990],30 St. Mary Axe London England EC3A 8BF,,,
RECLAIMX ENVIRONMENTAL LTD,16971845,active,ltd,,,2026-01-19,,2026-01-19,[38110, 38220, 39000],71-75 Shelton Street London United Kingdom WC2H 9JQ,https://reclaimxenvironmental.co.uk,,Likely
JANNAH HONEY LTD,16971857,active,ltd,,,2026-01-19,,2026-01-19,[46170],Flat 46 Arthur Court London England W2 5HW,,,
ZENNEX CARE LTD,16971986,active,ltd,,,2026-01-19,,2026-01-19,[78109, 78200],128 City Road London United Kingdom EC1V 2NX,,,
LINKEASY LTD,16972666,active,ltd,,,2026-01-19,,2026-01-19,[62012, 62090, 63120],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
PURPLE HOLMES LTD,16972647,active,ltd,,,2026-01-19,,2026-01-19,[68100, 68209, 68320],20 Wenlock Road London England N1 7GU,,,
BULLDOG SYSTEMS LTD,16972674,active,ltd,,,2026-01-19,,2026-01-19,[62012, 62020, 62090],167-169 Great Portland Street London United Kingdom W1W 5PF,,,
JEYJEY LTD,16972743,active,ltd,,,2026-01-19,,2026-01-19,[96090],Suite 10408 5 Brayford Square London United Kingdom E1 0SG,,,
PROPERTY BY MR S LIMITED,16972755,active,ltd,,,2026-01-19,,2026-01-19,[68100],49 Essex Road Chingford London United Kingdom E4 6DG,,,
FRIENDZ CAFE CORNER LTD,16972750,active,ltd,,,2026-01-19,,2026-01-19,[56102, 56103],11 Vallance Road London England E1 5HS,,,
AKARSU YACHTING LTD,16972786,active,ltd,,,2026-01-19,,2026-01-19,[99999],Third Floor London England W1B 3HH,,,
CM2 DEVELOPMENTS LTD,16972762,active,ltd,,,2026-01-19,,2026-01-19,[41100],3rd Floor, 86-90 Paul Street London England EC2A 4NE,,,
TJR RENTALS LTD,16973206,active,ltd,,,2026-01-19,,2026-01-19,[77320],2 Verdon Cottages London United Kingdom SW11 6SS,,,
ALPHA SOCIAL LTD,16973193,active,ltd,,,2026-01-19,,2026-01-19,[73110],483 Green Lanes London England N13 4BS,,,
USHNA LONDON LTD,16973202,active,ltd,,,2026-01-19,,2026-01-19,[96020],20 Wenlock Road London England N1 7GU,,,
BLOWING BUBBLES DRY CLEANERS LTD,16973531,active,ltd,,,2026-01-19,,2026-01-19,[96010],102 White Horse Lane London England E1 4LR,,,
TWENTY 3 AUTOS LTD,16973693,active,ltd,,,2026-01-19,,2026-01-19,[45112],2 Pinemartin Close London England NW2 6YS,,,
SENSATIONAL NAILS LDN LTD,16973817,active,ltd,,,2026-01-19,,2026-01-19,[96020],345 Roman Road London England E3 5QR,https://sensationalnailsbow.co.uk,,Confirmed
GLADES HOUSE LTD,16973814,active,ltd,,,2026-01-19,,2026-01-19,[68100, 68209],18 Paget Road London England N16 5NQ,,,
EVENTLESS PHOTOGRAPHY LIMITED,16973873,active,ltd,,,2026-01-20,,2026-01-20,[74209],Flat 305 Washington Building Deals Gateway London England SE13 7SE,,,
EBENEZER PROPERTY INVESTMENTS LTD,16974045,active,ltd,,,2026-01-20,,2026-01-20,[68100, 68209],10 Balfe Street London England N1 9EG,,,
DEDADE CODING LTD,16974039,active,ltd,,,2026-01-20,,2026-01-20,[47910, 58290, 62012, 62020],Suite 10415 5 Brayford Square London United Kingdom E1 0SG,,,
EDUVERA CONSULTING LTD,16974041,active,ltd,,,2026-01-20,,2026-01-20,[70229, 85600],Eduvera Consulting Ltd London United Kingdom EC1V 2NX,https://eduveraconsulting.com,,Likely
SWIFTCAUSECOURIERS LTD,16974025,active,ltd,,,2026-01-20,,2026-01-20,[52290],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
SAM IS MARKETING LTD,16974049,active,ltd,,,2026-01-20,,2026-01-20,[62012, 70229, 73110, 74100],Office 16639 182-184 High Street North London United Kingdom E6 2JA,,,
MARTENO LTD,16974268,active,ltd,,,2026-01-20,,2026-01-20,[70229],124 City Road London United Kingdom EC1V 2NX,,,
CARBON PR & MARKETING LTD,16974272,active,ltd,,,2026-01-20,,2026-01-20,[73110],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
DULWICH SPORT CLUB TRADING LIMITED,16974253,active,ltd,,,2026-01-20,,2026-01-20,[56302],Dulwich Sports Club London England SE24 9HP,https://dulwichsports.co.uk,,Confirmed
CLEANCROSS SERVICES LTD,16974261,active,ltd,,,2026-01-20,,2026-01-20,[68209, 81299],Flat 9 Milne House London England SE18 5EJ,,,
ENTARO LTD,16974489,active,ltd,,,2026-01-20,,2026-01-20,[68209],167-169 Great Portland Street London England W1W 5PF,,,
10-2-11 LTD,16974466,active,ltd,,,2026-01-20,,2026-01-20,[47190, 47250, 96090],40 Leinster Square London United Kingdom W2 4PT,,,
METAVIEW MANAGEMENT LTD,16974481,active,ltd,,,2026-01-20,,2026-01-20,[70229],20 Wenlock Road London England N1 7GU,,,
PITCHTALENT SOLUTIONS LTD,16974681,active,ltd,,,2026-01-20,,2026-01-20,[62012, 70229, 78300],20 Wenlock Road London England N1 7GU,,,
CAPO HOLDINGS LTD,16974675,active,ltd,,,2026-01-20,,2026-01-20,[38120, 41202, 43110, 43910],Office 16603 182-184 High Street North London United Kingdom E6 2JA,https://capoholdings.co.uk,,Confirmed
SANDY DEE CHILD MINDING SERVICES LIMITED,16974910,active,ltd,,,2026-01-20,,2026-01-20,[88910],36 Abbotts Close London England SE28 8JY,https://sandydeechildare.co.uk,sandydeechildminding@gmail.com,Confirmed
GRECOPACK LTD,16975013,active,ltd,,,2026-01-20,,2026-01-20,[46690],Flat 8 Barnstaple Mansions London England EC1R 4SN,https://grecopack.com,,Likely
MICA CONSULTING LIMITED,16975024,active,ltd,,,2026-01-20,,2026-01-20,[62020],Crown House London United Kingdom WC1N 3AX,,,
EMAAN'S PROPERTY INVESTMENTS LTD,16975345,active,ltd,,,2026-01-20,,2026-01-20,[68209],89 D London Road Morden United Kingdom SM4 5HP,https://www.emaansproperty.co.uk,,Confirmed
MUGIWARA IBBY LTD,16975334,active,ltd,,,2026-01-20,,2026-01-20,[47650],3 Balaam Street London United Kingdom E13 8EB,,,
CHARIOT HOLDINGS UK LIMITED,16975450,active,ltd,,,2026-01-20,,2026-01-20,[70100],19-21 Old Bond Street London United Kingdom W1S 4PX,,,
JET MANAGEMENT GROUP LIMITED,16975435,active,ltd,,,2026-01-20,,2026-01-20,[99999],128 City Road London United Kingdom EC1V 2NX,,,
SOURCED2STYLE LIMITED,16976046,active,ltd,,,2026-01-20,,2026-01-20,[47910],Flat 70 Braithwaite House London England EC1Y 8NQ,,,
ARION INNOVATION LTD,16976031,active,ltd,,,2026-01-20,,2026-01-20,[62012, 72190, 74909],71-75 Shelton Street London England WC2H 9JQ,,,
WZ PROPERTY INVESTMENTS LTD,16976258,active,ltd,,,2026-01-20,,2026-01-20,[68209],5th Floor 36-38 Wigmore Street London United Kingdom W1U 2BP,,,
RELIABLEWISE LTD,16976256,active,ltd,,,2026-01-20,,2026-01-20,[62090],Office 16713 182-184 High Street North London United Kingdom E6 2JA,,,
LA BEFANA LIMITED,16976261,active,ltd,,,2026-01-20,,2026-01-20,[62020, 62090, 70229],114 Hainault Road London England E11 1EL,,,
LUXE AND CLE LTD,16976255,active,ltd,,,2026-01-20,,2026-01-20,[68209],20 Wenlock Road London England N1 7GU,,,
ARC UK INDUSTRIAL HOLDCO 3 LIMITED,16976254,active,ltd,,,2026-01-20,,2026-01-20,[64209],16 Berkeley Street London United Kingdom W1J 8DZ,,,
JUST HOLD LTD,16976542,active,ltd,,,2026-01-20,,2026-01-20,[62012],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
ELYSUIM LTD,16976538,active,ltd,,,2026-01-20,,2026-01-20,[47750],49 Wyllen Close London England E1 4HQ,,,
GRAINANDBOLT LTD,16976613,active,ltd,,,2026-01-20,,2026-01-20,[47910],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
INTERVENTA LTD,16980123,active,ltd,,,2026-01-22,,2026-01-22,[64209],9-11 New Broadway London United Kingdom W5 5AW,,,
LIV EXCHANGE LIMITED,16980117,active,ltd,,,2026-01-22,,2026-01-22,[79909],Flat E Penny Black House London England EC1R 3EA,,,
AJL TECH GROUP LIMITED,16980095,active,ltd,,,2026-01-22,,2026-01-22,[62012],124 City Road London United Kingdom EC1V 2NX,,,
GLADESFIELD PROPERTY GROUP LTD,16980112,active,ltd,,,2026-01-22,,2026-01-22,[55209, 68209, 68320],20 Wenlock Road London England N1 7GU,,,
SONEN HEALTH LTD,16980192,active,ltd,,,2026-01-22,,2026-01-22,[47910],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
SITECH HOLDINGS LTD,16980291,active,ltd,,,2026-01-22,,2026-01-22,[46900, 47910, 58290, 90030],124-128 City Road London England EC1V 2NX,,,
TINASHE JERA MUSIC LTD,16980300,active,ltd,,,2026-01-22,,2026-01-22,[59112, 59200, 85590, 90030],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
ARNAU & CO. COFFEE LIMITED,16980311,active,ltd,,,2026-01-22,,2026-01-22,[46110, 46370],167-169 Great Portland Street London United Kingdom W1W 5PF,,,
RUNIVOX LTD,16980284,active,ltd,,,2026-01-22,,2026-01-22,[58290, 62012],20 Wenlock Road London England N1 7GU,,,
HYBONS LTD,16980463,active,ltd,,,2026-01-22,,2026-01-22,[46620, 47910, 62020, 82990],128 City Road London United Kingdom EC1V 2NX,,,
FUTURES IMAGINED LTD,16980467,active,ltd,,,2026-01-22,,2026-01-22,[90030, 91020, 91040, 93290],128 City Road London United Kingdom EC1V 2NX,,,
TEACH GROWTH LTD,16980487,active,ltd,,,2026-01-22,,2026-01-22,[73110],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
BELLE BOUTIQUE NEW YORK LTD,16980489,active,ltd,,,2026-01-22,,2026-01-22,[47910],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
MAJOR PROPERTY MANAGEMENT LTD,16980720,active,ltd,,,2026-01-22,,2026-01-22,[68320],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
AL-MATAR TRADING LTD,16980839,active,ltd,,,2026-01-22,,2026-01-22,[56101],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
SHAREKTE316 LTD,16980848,active,ltd,,,2026-01-22,,2026-01-22,[46900],275 New N Rd #3110 London United Kingdom N1 7AA,,,
FUTBOL COLLECTIVE LTD,16981073,active,ltd,,,2026-01-22,,2026-01-22,[93199],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,https://www.futbol-collective.com,,Likely
MARTINEZ NEGRILLO ANTIQUES LTD,16981081,active,ltd,,,2026-01-22,,2026-01-22,[47770],34 Myrtle Gardens London United Kingdom W7 3JQ,https://martineznegrilloantiques.co.uk,,Confirmed
TRANSLATA BIOSCIENCES LTD,16954305,active,ltd,,,2026-01-09,,2026-01-09,[72110, 74909],124 City Road London England EC1V 2NX,https://translatabiosciences.co.uk,,Confirmed
PRIME MARKETING GROWTH DEVELOPMENT SOLUTIONS GROUP LTD,16981230,active,ltd,,,2026-01-22,,2026-01-22,[62012, 62020, 62090, 63120],42-44 Bishopsgate London England EC2N 4AH,https://primemarketgrowdev.com,,Confirmed
FOSE LTD,16981223,active,ltd,,,2026-01-22,,2026-01-22,[06200, 09100],128 City Road London United Kingdom EC1V 2NX,,,
SETTLE HOLDINGS LTD,16981243,active,ltd,,,2026-01-22,,2026-01-22,[64209],187 Hoe Street London England E17 3AP,,,
BERRAK GOZE LTD,16981240,active,ltd,,,2026-01-22,,2026-01-22,[47910],Suite 10416 5 Brayford Square London United Kingdom E1 0SG,,,
SHAREKTE319 LTD,16981227,active,ltd,,,2026-01-22,,2026-01-22,[46900],275 New N Rd #3110 London United Kingdom N1 7AA,,,
BLACK TAXI GROUP LTD,16981414,active,ltd,,,2026-01-22,,2026-01-22,[73110],88 Ormiston Grove London England W12 0JS,,,
KARELYX WARDROBE LTD,16981410,active,ltd,,,2026-01-22,,2026-01-22,[47710],20 Wenlock Road London United Kingdom N1 7GU,,,
NOMADTEC LTD,16981632,active,ltd,,,2026-01-22,,2026-01-22,[62012, 62020, 62090],20 Wenlock Road London England N1 7GU,,,
BRISHOW LTD,16981615,active,ltd,,,2026-01-22,,2026-01-22,[96090],70 Bounces Road London England N9 8JS,,,
HSJ-RR LTD,16981926,active,ltd,,,2026-01-22,,2026-01-22,[56101, 56103, 56210],66 Lavender Hill London England SW11 5RQ,,,
WEST END RENEWABLES LIMITED,16981922,active,ltd,,,2026-01-22,,2026-01-22,[71129],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
LAVISH CAFE LTD,16981929,active,ltd,,,2026-01-22,,2026-01-22,[56102],133-135 Stanstead Road London England SE23 1HH,https://www.lavishse23.co.uk,management@lavishse23.co.uk,Confirmed
FREEFLOW COLLECTIVE LIMITED,16981921,active,ltd,,,2026-01-22,,2026-01-22,[73110, 82990],Bourbon Hanby Arcade Chlesea United Kingdom SW3 6NT,,,
194 SSHG LTD,16982309,active,ltd,,,2026-01-22,,2026-01-22,[70229],19 Berkeley Street London England W1J 8ED,,,
NINJAQUANT LTD,16969631,active,ltd,,,2026-01-17,,2026-01-17,[62012, 62090, 64999, 66110],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
AK CLIENT SERVICES LIMITED,16939271,active,ltd,,,2026-01-02,,2026-01-02,[64999, 66120, 82990],128 City Road London United Kingdom EC1V 2NX,,,
ODDSLENS TECHNOLOGIES LTD,16982784,active,ltd,,,2026-01-23,,2026-01-23,[62012, 63110],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
EASTWISE LIMITED,16982785,active,ltd,,,2026-01-23,,2026-01-23,[96090],72 Halliwick Road London England N10 1AB,,,
PUREVANTA LTD,16982782,active,ltd,,,2026-01-23,,2026-01-23,[96090],128 City Road London United Kingdom EC1V 2NX,,,
K ABEDIN & CO LTD,16982787,active,ltd,,,2026-01-23,,2026-01-23,[47910],23 Carr Street London United Kingdom E14 7SU,,,
